acpi 1.8-2
alsa-utils 1.2.14-1
autorandr 1.15-1
base 3-2
base-devel 1-2
efibootmgr 18-3
feh 3.10.3-1
firefox 141.0.3-1
git 2.50.1-3
grub 2:2.12.r292.g73d1c959-1
intel-ucode 20250512-1
iwd 3.9-1
kicad 9.0.3-1
lf 36-1
linux 6.15.9.arch1-1
linux-firmware 20250708-1
nano 8.5-1
neovim 0.11.3-1
nvidia 575.64.05-4
pacman-contrib 1.12.0-1
picom 12.5-3
pipewire-pulse 1:1.4.7-1
playerctl 2.4.1-4
rofi 1.7.9.1-1
sof-firmware 2025.05-1
stow 2.4.1-1
ttf-jetbrains-mono-nerd 3.4.0-1
ufw 0.36.2-5
xf86-video-vesa 2.6.0-2
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.18-2
xorg-server-common 21.1.18-2
xorg-server-devel 21.1.18-2
xorg-server-xephyr 21.1.18-2
xorg-server-xnest 21.1.18-2
xorg-server-xvfb 21.1.18-2
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.8-1
xorg-x11perf 1.7.0-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.3.4-2
xorg-xdriinfo 1.0.7-2
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.8-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
zram-generator 1.2.1-1
